,Date,Time,TxnCode,OfficeID,Country,Origin,Destination,RoundTrip,NbSegments,Seg1Departure,Seg1Arrival,Seg1Date,Seg1Carrier,Seg1BookingCode,Seg2Departure,Seg2Arrival,Seg2Date,Seg2Carrier,Seg2BookingCode,Seg3Departure,Seg3Arrival,Seg3Date,Seg3Carrier,Seg3BookingCode,Seg4Departure,Seg4Arrival,Seg4Date,Seg4Carrier,Seg4BookingCode,Seg5Departure,Seg5Arrival,Seg5Date,Seg5Carrier,Seg5BookingCode,Seg6Departure,Seg6Arrival,Seg6Date,Seg6Carrier,Seg6BookingCode,From,IsPublishedForNeg,IsFromInternet,IsFromVista,TerminalID,InternetOffice,booked
23,2013-01-01,23:32:58,MPT,624d8c3ac0b3a7ca03e3c167e0f48327,DE,DUS,IST,1.0,2.0,DUS,IST,2013-03-24,YD,,IST,DUS,2013-03-28,YD,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,FRA,1.0
27,2013-01-01,18:33:28,CCP,3565e31495ecfd46fa018339d20382b1,SA,RUH,JED,0.0,1.0,RUH,JED,2013-01-04,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
40,2013-01-01,06:36:57,FFP,86f167b84e77346849f9439ae87c02a6,SA,DMM,MNL,1.0,2.0,DMM,MNL,2013-06-01,OJ,,MNL,DMM,2013-06-30,OJ,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
59,2013-01-01,07:00:38,FQD,e8741eaf2fa2f71f931475d18fa72096,US,ATL,MIA,0.0,1.0,ATL,MIA,2013-01-10,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SEA,1.0
94,2013-01-01,10:33:19,MPT,8b4fa4e121637f583bfa86ef0fa26c9e,US,DXB,KUL,1.0,2.0,DXB,KUL,2013-01-16,,,KUL,DXB,2013-01-23,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LAS,1.0
134,2013-01-01,23:30:44,MPT,5215502d9524c3183f3839b0d9a5e4f9,AU,MEL,SYD,0.0,1.0,MEL,SYD,2013-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SYD,1.0
172,2013-01-01,18:34:27,MPT,fd4afff0035bec8f8e305d38804c33f6,IN,BOM,JED,1.0,2.0,BOM,JED,2013-01-26,,,JED,BOM,2013-01-29,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,DEL,1.0
178,2013-01-01,08:00:17,MPT,b695299cc14ddcd1e31f1c922b3e258c,US,SFO,CUN,1.0,2.0,SFO,CUN,2013-07-20,,,CUN,SFO,2013-07-31,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SJC,1.0
183,2013-01-01,00:55:16,FXP,de15cb744e2b15d80bf7dff11f783bae,SA,RUH,KUL,1.0,5.0,RUH,DOH,2013-03-31,BC,Q,DOH,KUL,2013-03-31,BC,Q,KUL,CGK,2013-04-01,WR,Q,CGK,DOH,2013-04-07,BC,H,DOH,RUH,2013-04-07,BC,H,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,RUH,1.0
212,2013-01-01,22:11:15,MPT,440642a9bdaeb6287f826cefd73255e8,US,ORD,MUC,1.0,2.0,ORD,MUC,2013-09-02,OU,,MUC,ORD,2013-09-11,OU,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,1.0
